FECHA CORTA,close,Rendimiento Simple,Rendimiento Logaritmico,,,,,,
26/04/2025,94646.92811,-0.000777,-0.000777,,,,,,
27/04/2025,93754.84674,-0.009425,-0.00947,,,,,,
28/04/2025,94978.7525,0.013054,0.01297,,,,,,
29/04/2025,94284.79163,-0.007306,-0.007333,,,,,,
30/04/2025,94207.3113,-0.000822,-0.000822,,,,,,
01/05/2025,96492.33905,0.024255,0.023966,,,,,,
02/05/2025,96910.06858,0.004329,0.00432,,,,,,
03/05/2025,95891.79803,-0.010507,-0.010563,,,,,,
04/05/2025,94315.97489,-0.016433,-0.01657,,,,,,
05/05/2025,94748.05148,0.004581,0.004571,,,,,,
06/05/2025,96802.47756,0.021683,0.021451,,,,,,
07/05/2025,97032.31897,0.002374,0.002372,,,,,,
08/05/2025,103241.4608,0.06399,0.062026,,,,,,
09/05/2025,102970.8497,-0.002621,-0.002625,,,,,,
10/05/2025,104696.3273,0.016757,0.016618,,,,,,
11/05/2025,104106.3555,-0.005635,-0.005651,,,,,,
12/05/2025,102812.9533,-0.012424,-0.012502,,,,,,
13/05/2025,104169.8129,0.013197,0.013111,,,,,,
14/05/2025,103539.4171,-0.006052,-0.00607,,,,,,
15/05/2025,103744.6436,0.001982,0.00198,,,,,,
16/05/2025,103489.2917,-0.002461,-0.002464,,,,,,
17/05/2025,103191.0855,-0.002882,-0.002886,,,,,,
18/05/2025,106446.0106,0.031543,0.031055,,,,,,
19/05/2025,105606.1815,-0.00789,-0.007921,,,,,,
20/05/2025,106791.0897,0.01122,0.011158,,,,,,
21/05/2025,109678.0763,0.027034,0.026675,,,,,,
22/05/2025,111673.284,0.018191,0.018028,,,,,,
23/05/2025,107287.7967,-0.039271,-0.040063,,,,,,
24/05/2025,107791.1575,0.004692,0.004681,,,,,,
25/05/2025,109035.387,0.011543,0.011477,,,,,,
26/05/2025,109440.3684,0.003714,0.003707,,,,,,
27/05/2025,108994.6422,-0.004073,-0.004081,,,,,,
28/05/2025,107802.3245,-0.010939,-0.011,,,,,,
29/05/2025,105641.7607,-0.020042,-0.020245,,,,,,
30/05/2025,103998.5722,-0.015554,-0.015677,,,,,,
31/05/2025,104638.0913,0.006149,0.00613,,,,,,
01/06/2025,105652.0986,0.009691,0.009644,,,,,,
02/06/2025,105881.5339,0.002172,0.002169,,,,,,
03/06/2025,105432.4701,-0.004241,-0.00425,,,,,,
04/06/2025,104731.9833,-0.006644,-0.006666,,,,,,
05/06/2025,101575.9523,-0.030134,-0.030598,,,,,,
06/06/2025,104390.3469,0.027707,0.02733,,,,,,
07/06/2025,105615.6263,0.011737,0.011669,,,,,,
08/06/2025,105793.6502,0.001686,0.001684,,,,,,
09/06/2025,110294.0991,0.04254,0.04166,,,,,,
10/06/2025,110257.2377,-0.000334,-0.000334,,,,,,
11/06/2025,108686.6277,-0.014245,-0.014347,,,,,,
12/06/2025,105929.0513,-0.025372,-0.025699,,,,,,
13/06/2025,106090.9664,0.001529,0.001527,,,,,,
14/06/2025,105472.4087,-0.00583,-0.005848,,,,,,
15/06/2025,105552.027,0.000755,0.000755,,,,,,
16/06/2025,106796.7572,0.011793,0.011724,,,,,,
17/06/2025,104601.1168,-0.020559,-0.020773,,,,,,
18/06/2025,104883.3269,0.002698,0.002694,,,,,,
19/06/2025,104684.286,-0.001898,-0.0019,,,,,,
20/06/2025,103309.6041,-0.013132,-0.013219,,,,,,
21/06/2025,102257.4087,-0.010185,-0.010237,,,,,,
22/06/2025,100987.1395,-0.012422,-0.0125,,,,,,
23/06/2025,105577.772,0.045458,0.044455,,,,,,
24/06/2025,106045.6321,0.004431,0.004422,,,,,,
25/06/2025,107361.2608,0.012406,0.01233,,,,,,
26/06/2025,106960.0033,-0.003737,-0.003744,,,,,,
27/06/2025,107088.4302,0.001201,0.0012,,,,,,
28/06/2025,107327.7032,0.002234,0.002232,,,,,,
29/06/2025,108385.5701,0.009856,0.009808,,,,,,
30/06/2025,107135.3345,-0.011535,-0.011602,,,,,,
01/07/2025,105698.2781,-0.013413,-0.013504,,,,,,
02/07/2025,108859.3239,0.029906,0.029468,,,,,,
03/07/2025,109647.9788,0.007245,0.007219,,,,,,
04/07/2025,108034.339,-0.014717,-0.014826,,,,,,
05/07/2025,108231.182,0.001822,0.00182,,,,,,
06/07/2025,109232.0697,0.009248,0.009205,,,,,,
07/07/2025,108299.8511,-0.008534,-0.008571,,,,,,
08/07/2025,108950.2755,0.006006,0.005988,,,,,,
09/07/2025,111326.5513,0.021811,0.021576,,,,,,
10/07/2025,115987.2062,0.041865,0.041012,,,,,,
11/07/2025,117516.9937,0.013189,0.013103,,,,,,
12/07/2025,117435.2301,-0.000696,-0.000696,,,,,,
13/07/2025,119116.1175,0.014313,0.014212,,,,,,
14/07/2025,119849.7057,0.006159,0.00614,,,,,,
15/07/2025,117777.189,-0.017293,-0.017444,,,,,,
16/07/2025,118738.506,0.008162,0.008129,,,,,,
17/07/2025,119289.8422,0.004643,0.004633,,,,,,
18/07/2025,118003.2245,-0.010786,-0.010844,,,,,,
19/07/2025,117939.9787,-0.000536,-0.000536,,,,,,
20/07/2025,117300.7857,-0.00542,-0.005434,,,,,,
21/07/2025,117439.5358,0.001183,0.001182,,,,,,
22/07/2025,119995.4156,0.021763,0.02153,,,,,,
23/07/2025,118754.9572,-0.010338,-0.010391,,,,,,
24/07/2025,118368.0032,-0.003258,-0.003264,,,,,,
25/07/2025,117635.8811,-0.006185,-0.006204,,,,,,
26/07/2025,117947.3662,0.002648,0.002644,,,,,,
27/07/2025,119448.4903,0.012727,0.012647,,,,,,
28/07/2025,117924.473,-0.012759,-0.012841,,,,,,
29/07/2025,117922.1478,-0.00002,-0.00002,,,,,,
30/07/2025,117831.1914,-0.000771,-0.000772,,,,,,
31/07/2025,115758.2039,-0.017593,-0.017749,,,,,,
01/08/2025,113320.086,-0.021062,-0.021287,,,,,,
02/08/2025,112526.9146,-0.006999,-0.007024,,,,,,
03/08/2025,114217.673,0.015025,0.014914,,,,,,
04/08/2025,115071.8843,0.007479,0.007451,,,,,,
05/08/2025,114141.4417,-0.008086,-0.008119,,,,,,
06/08/2025,115027.9964,0.007767,0.007737,,,,,,
07/08/2025,117496.8974,0.021463,0.021236,,,,,,
08/08/2025,116688.7254,-0.006878,-0.006902,,,,,,
09/08/2025,116500.3621,-0.001614,-0.001616,,,,,,
10/08/2025,119306.7614,0.024089,0.023804,,,,,,
11/08/2025,118731.447,-0.004822,-0.004834,,,,,,
12/08/2025,120172.9071,0.012141,0.012067,,,,,,
13/08/2025,123344.0598,0.026388,0.026046,,,,,,
14/08/2025,118359.5806,-0.040411,-0.04125,,,,,,
15/08/2025,117398.348,-0.008121,-0.008154,,,,,,
16/08/2025,117491.3484,0.000792,0.000792,,,,,,
17/08/2025,117453.0627,-0.000326,-0.000326,,,,,,
18/08/2025,116252.3119,-0.010223,-0.010276,,,,,,
19/08/2025,112831.176,-0.029429,-0.02987,,,,,,
20/08/2025,114274.7408,0.012794,0.012713,,,,,,
21/08/2025,112419.0275,-0.016239,-0.016372,,,,,,
22/08/2025,116874.0875,0.039629,0.038864,,,,,,
23/08/2025,115374.3312,-0.012832,-0.012915,,,,,,
24/08/2025,113458.4322,-0.016606,-0.016745,,,,,,
25/08/2025,110124.3509,-0.029386,-0.029826,,,,,,
26/08/2025,111802.6556,0.01524,0.015125,,,,,,
27/08/2025,111222.0607,-0.005193,-0.005207,,,,,,
28/08/2025,112544.802,0.011893,0.011823,,,,,,
